"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS026972022";"2022-06-08 21:53:35";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-06-12 00:00:00";"2022-06-13 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Mato Grosso do Sul, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelos órgãos: TSE 2022, PNADc 2020 e CENSO 2010.";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado do Mato Grosso do Sul, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de aproximadamente 3% para um intervalo e confiança de 95%.
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 52,2% Masculino 47,8%   
Faixa Etária: De 16 a 24 anos 13,6%; De 25 a 34 anos 21,5%; De 35 a 44 anos 20,8%; De 45 a 59 anos 25,0%; Mais de 60 anos 19,1%.
Grau de Instrução: Até Fundamental Completo 43,7%; Ensino Médio incompleto ou Completo 35,4%; Ensino Superior Incompleto ou Completo 20,9%.
Nivel econômico: Economicamente ativo: Masculino 74,7% e Feminino 53,7%; Não economicamente ativo: Masculino 25,3% e Feminino 46,3%.
Fonte: TSE 2022, PNADc 2020 e CENSO 2010.



";" O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS018882022";"2022-10-04 19:49:25";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador";"2022-10-07 00:00:00";"2022-10-08 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"10000,00";"10000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do Mato Grosso do Sul.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 13% (feminino) 13%; 
25-34 (masculino) 21% (feminino) 21%;
 35-44 (masculino) 21% (feminino) 21%;
 45-59 (masculino) 25% (feminino) 25%;
 60 e+ (masculino) 20% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 82% (feminino) 76%;
 Ensino Superior (masculino) 18% (feminino) 24%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 75% (feminino) 54%;
 Não Economicamente ativo (masculino) 25% (feminino) 46%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado de acordo com a resolução."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS090792022";"2022-09-13 19:09:56";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-09-16 00:00:00";"2022-09-17 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do Mato Grosso do Sul.
";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 13% (feminino) 13%; 
25-34 (masculino) 21% (feminino) 21%;
 35-44 (masculino) 21% (feminino) 21%;
 45-59 (masculino) 25% (feminino) 25%;
 60 e+ (masculino) 20% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 82% (feminino) 76%;
 Ensino Superior (masculino) 18% (feminino) 24%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 75% (feminino) 54%;
 Não Economicamente ativo (masculino) 25% (feminino) 46%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";" O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado de acordo com a resolução."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS033282022";"2022-10-11 18:29:09";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador";"2022-10-14 00:00:00";"2022-10-15 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do Mato Grosso do Sul.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 13% (feminino) 13%; 
25-34 (masculino) 21% (feminino) 21%;
 35-44 (masculino) 21% (feminino) 21%;
 45-59 (masculino) 25% (feminino) 25%;
 60 e+ (masculino) 20% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 82% (feminino) 76%;
 Ensino Superior (masculino) 18% (feminino) 24%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 75% (feminino) 54%;
 Não Economicamente ativo (masculino) 25% (feminino) 46%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado de acordo com a resolução."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS029822022";"2022-09-24 18:34:35";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-09-28 00:00:00";"2022-09-29 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do Mato Grosso do Sul.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 13% (feminino) 13%; 
25-34 (masculino) 21% (feminino) 21%;
 35-44 (masculino) 21% (feminino) 21%;
 45-59 (masculino) 25% (feminino) 25%;
 60 e+ (masculino) 20% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 82% (feminino) 76%;
 Ensino Superior (masculino) 18% (feminino) 24%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 75% (feminino) 54%;
 Não Economicamente ativo (masculino) 25% (feminino) 46%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado de acordo com a resolução."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS016212022";"2022-10-18 23:33:55";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador";"2022-10-21 00:00:00";"2022-10-22 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"10000,00";"10000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do Mato Grosso do Sul.

";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 13% (feminino) 13%; 
25-34 (masculino) 21% (feminino) 21%;
 35-44 (masculino) 21% (feminino) 21%;
 45-59 (masculino) 25% (feminino) 25%;
 60 e+ (masculino) 20% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 82% (feminino) 76%;
 Ensino Superior (masculino) 18% (feminino) 24%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 75% (feminino) 54%;
 Não Economicamente ativo (masculino) 25% (feminino) 46%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado de acordo com a resolução."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS077012022";"2022-09-24 19:21:16";"N";"45969310000157";"L. A. DO AMARAL EMPRESA DE PESQUISA E CONSULTORIA";"INSTITUTO BRASILEIRO DE PESQUISAS - IBP";"Governador, Senador";"2022-09-25 00:00:00";"2022-09-29 00:00:00";2500;"7655-A ";"AUGUSTO DA SILVA ROCHA";"16000,00";"16000,00";"Pesquisa com metodologia quantitativa, com a realização de entrevistas em residências e nos setores censitários, utilizando questionário estruturado junto a uma amostra representativa do eleitorado do Estado de Mato Grosso do Sul com 16 anos ou mais. ";"A amostra será representativa do eleitorado da área pesquisada e será selecionada em três etapas. Na primeira etapa realiza-se um sorteio probabilístico dos municípios onde as entrevistas serão realizadas através do método PPT (Probabilidade Proporcional ao Tamanho), considerando a população eleitora com 16 anos ou mais residente nos municípios como base para essa seleção. Na segunda etapa, faz-se um sorteio probabilístico das localidades, onde as entrevistas serão realizadas, através do método PPT (Probabilidade Proporcional ao Tamanho), tomando a população eleitora de 16 anos ou mais residente nas localidades como base para essa seleção. Na terceira etapa, a seleção do entrevistado dentro da localidade, será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis: Sexo: masculino 47,556%, feminino 52,444%. Faixa etária: 16 a 24 anos 13,60%, 25 a 34 anos 21,00%, 35 a 44 anos 20,60%, 45 a 59 anos 24,90%, 60 anos ou mais 19,90%. Escolaridade: analfabeto/lê e escreve 10,07%, ensino fundamental incompleto e completo 31,74%, ensino médio incompleto e completo 37,31%, superior incompleto e completo 20,88%. Renda: até 1 salário mínimo 18,20%, de 1 a 2 salários mínimos 25,00%, de 2 a 5 salários mínimos 36,10%, de 5 a 10 salários mínimos 13,70%, mais de 10 salários mínimos 7,00%. A pesquisa será realizada de acordo com os dados populacionais disponibilizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE) referentes ao Censo 2010 e TSE/TRE-MS 31/08/2022. Para um intervalo de confiança de 95% e um tamanho de amostra de 2.500 entrevistas, a margem de erro máxima estimada foi de 2% para mais ou para menos. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada. Pesquisa com metodologia quantitativa, com a realização de entrevistas em residências nos setores censitários, utilizando questionário estruturado junto a uma amostra representativa do eleitorado do Estado de Mato Grosso do Sul com 16 anos ou mais. ";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores devidamente qualificada pelo I.B.P - Instituto Brasileiro de Pesquisas, com experiência e treinamento em pesquisas de opinião pública. No decorrer do trabalho de coleta de dados, os questionários aplicados, serão auditados em no mínimo 20% (vinte por cento) para verificação quanto ao cuidado na sua aplicação, bem como a adequação do entrevistado às variáveis das quotas amostrais. ";"Dados da pesquisa de campo se encontra em PDF para conferencia em anexo."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS077512022";"2022-07-08 11:42:50";"N";"45969310000157";"L. A. DO AMARAL EMPRESA DE PESQUISA E CONSULTORIA";"INSTITUTO BRASILEIRO DE PESQUISAS - IBP";"Governador, Senador";"2022-07-08 00:00:00";"2022-07-13 00:00:00";2500;"5451-A";"IVAN FERREIRA DOMINGUES";"16000,00";"16000,00";"Pesquisa com metodologia quantitativa, com a realização de entrevistas em residências e lugares de grandes concentrações de pessoas, utilizando questionário estruturado junto a uma amostra representativa do eleitorado do Estado de Mato Grosso do Sul com 16 anos ou mais.";"A amostra será representativa do eleitorado da área pesquisada e será selecionada em três etapas. Na primeira etapa realiza-se um sorteio probabilístico dos municípios onde as entrevistas serão realizadas através do método PPT (Probabilidade Proporcional ao Tamanho), considerando a população eleitora com 16 anos ou mais residente nos municípios como base para essa seleção. Na segunda etapa, faz-se um sorteio probabilístico das localidades, onde as entrevistas serão realizadas, através do método PPT (Probabilidade Proporcional ao Tamanho), tomando a população eleitora de 16 anos ou mais residente nas localidades como base para essa seleção. Na terceira etapa, a seleção do entrevistado dentro da localidade, será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis: Sexo: masculino 47,30%, feminino 52,70%. Faixa etária: 16 a 24 anos 14,30%, 25 a 34 anos 20,90%, 35 a 44 anos 20,60%, 45 a 59 anos 24,70%, 60 anos ou mais 19,50%. Escolaridade: analfabeto/lê e escreve 9,70%, ensino fundamental incompleto e completo 31,40%, ensino médio incompleto e completo 37,50%, superior incompleto e completo 21,40%. Renda: até 1 salário mínimo 18,20%, de 1 a 2 salários mínimos 25,00%, de 2 a 5 salários mínimos 36,10%, de 5 a 10 salários mínimos 13,70%, mais de 10 salários mínimos 7,00%. A pesquisa será realizada de acordo com os dados populacionais disponibilizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE) referentes ao Censo 2010 e TSE/TRE-MS 31/05/2022. A pesquisa será realizada de acordo com os dados populacionais disponibilizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE) referentes ao Censo 2010 e TSE/TRE-MS 30/04/2022. Para um intervalo de confiança de 95% e um tamanho de amostra de 2.500 entrevistas, a margem de erro máxima estimada foi de 2% para mais ou para menos. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizados. Pesquisa presencial em residências e locais de grandes concentrações de pessoas.  ";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores devidamente qualificada pelo I.B.P - Instituto Brasileiro de Pesquisas, com experiência e treinamento em pesquisas de opinião pública. No decorrer do trabalho de coleta de dados, os questionários aplicados, serão auditados em no mínimo 20% (vinte por cento) para verificação quanto ao cuidado na sua aplicação, bem como a adequação do entrevistado às variáveis das quotas amostrais.";"Relação dos municípios, bairros, dados dos entrevistados e quantidade em anexo em PDF. Julho de 2022"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS060862022";"2022-06-16 13:55:07";"N";"45969310000157";"L. A. DO AMARAL EMPRESA DE PESQUISA E CONSULTORIA";"INSTITUTO BRASILEIRO DE PESQUISAS - IBP";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-06-17 00:00:00";"2022-06-22 00:00:00";2500;"7655  ";"AUGUSTO DA SILVA ROCHA";"16000,00";"16000,00";"O colhimento de dados é no Estado de Mato Grosso do Sul. A relação dos municípios, bairros e localidades selecionados para a pesquisa será apresentada até o dia seguinte à data a partir da qual a pesquisa puder ser divulgada, conforme §7º do art. 2º da Resolução-TSE nº. 23.600/2019. 

";"A amostra será representativa do eleitorado da área pesquisada e será selecionada em três etapas. Na primeira etapa realiza-se um sorteio probabilístico dos municípios onde as entrevistas serão realizadas através do método PPT (Probabilidade Proporcional ao Tamanho), considerando a população eleitora com 16 anos ou mais residente nos municípios como base para essa seleção. Na segunda etapa, faz-se um sorteio probabilístico das localidades, onde as entrevistas serão realizadas, através do método PPT (Probabilidade Proporcional ao Tamanho), tomando a população eleitora de 16 anos ou mais residente nas localidades como base para essa seleção. Na terceira etapa, a seleção do entrevistado dentro da localidade, será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis: Sexo: masculino 47,20%, feminino 52,80%. Faixa etária: 16 a 24 anos 13,50%, 25 a 34 anos 21,10%, 35 a 44 anos 20,80%, 45 a 59 anos 25,30%, 60 anos ou mais 19,30%. Escolaridade: analfabeto/lê e escreve 9,90%, ensino fundamental incompleto e completo 31,70%, ensino médio incompleto e completo 37,00%, superior incompleto e completo 21,40%. Renda: até 1 salário mínimo 18,20%, de 1 a 2 salários mínimos 25,00%, de 2 a 5 salários mínimos 36,10%, de 5 a 10 salários mínimos 13,70%, mais de 10 salários mínimos 7,00%. A pesquisa será realizada de acordo com os dados populacionais disponibilizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE) referentes ao Censo 2010 e TSE/TRE-MS 30/04/2022. Para um intervalo de confiança de 95% e um tamanho de amostra de 2.500 entrevistas, a margem de erro máxima estimada foi de 2% para mais ou para menos. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada.";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores devidamente qualificada pelo I.B.P - Instituto Brasileiro de Pesquisas, com experiência e treinamento em pesquisas de opinião pública. No decorrer do trabalho de coleta de dados, os questionários aplicados, serão auditados em no mínimo 20% (vinte por cento) para verificação quanto ao cuidado na sua aplicação, bem como a adequação do entrevistado às variáveis das quotas amostrais.";"Sexo: masculino 47,20%, feminino 52,80%. Faixa etária: 16 a 24 anos 13,50%, 25 a 34 anos 21,10%, 35 a 44 anos 20,80%, 45 a 59 anos 25,30%, 60 anos ou mais 19,30%. Escolaridade: analfabeto/lê e escreve 9,90%, ensino fundamental incompleto e completo 31,70%, ensino médio incompleto e completo 37,00%, superior incompleto e completo 21,40%. Renda: até 1 salário mínimo 18,20%, de 1 a 2 salários mínimos 25,00%, de 2 a 5 salários mínimos 36,10%, de 5 a 10 salários mínimos 13,70%, mais de 10 salários mínimos 7,00%. Municípios, bairros e localidades onde foram realizadas as entrevistas, em anexo."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"MS";"MS";"MATO GROSSO DO SUL";"MS055172022";"2022-05-17 18:50:10";"N";"45969310000157";"L. A. DO AMARAL EMPRESA DE PESQUISA E CONSULTORIA";"INSTITUTO BRASILEIRO DE PESQUISAS - IBP";"Governador, Senador";"2022-05-18 00:00:00";"2022-05-22 00:00:00";2500;"5451";"IVAN FERREIRA DOMINGUES";"16000,00";"16000,00";"Pesquisa com metodologia quantitativa, com a realização de entrevistas pessoais, utilizando questionário estruturado junto a uma amostra representativa do eleitorado do Estado de Mato Grosso do Sul com 16 anos ou mais.";"A amostra será representativa do eleitorado da área pesquisada e será selecionada em três etapas. Na primeira etapa realiza-se um sorteio probabilístico dos municípios onde as entrevistas serão realizadas através do método PPT (Probabilidade Proporcional ao Tamanho), considerando a população eleitora com 16 anos ou mais residente nos municípios como base para essa seleção. Na segunda etapa, faz-se um sorteio probabilístico das localidades, onde as entrevistas serão realizadas, através do método PPT (Probabilidade Proporcional ao Tamanho), tomando a população eleitora de 16 anos ou mais residente nas localidades como base para essa seleção. Na terceira etapa, a seleção do entrevistado dentro da localidade, será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis: Gênero: masculino 47,20%, feminino 52,80%. Faixa etária: 16 a 24 anos 13,10%, 25 a 34 anos 21,20%, 35 a 44 anos 20,90%, 45 a 59 anos 25,40%, 60 anos ou mais 19,40%. Escolaridade: analfabeto/lê e escreve 9,90%, ensino fundamental incompleto e completo 31,80%, ensino médio incompleto e completo 36,80%, superior incompleto e completo 21,50%. Renda: até 1 salário mínimo 18,20%, de 1 a 2 salários mínimos 25,00%, de 2 a 5 salários mínimos 36,10%, de 5 a 10 salários mínimos 13,70%, mais de 10 salários mínimos 7,00%. A pesquisa será realizada de acordo com os dados populacionais disponibilizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE) referentes ao Censo 2010 e TSE/TRE-MS 31/03/2022. Para um intervalo de confiança de 95% e um tamanho de amostra de 2.500 entrevistas, a margem de erro máxima estimada foi de 2% para mais ou para menos. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada.";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores devidamente qualificada pelo I.B.P - Instituto Brasileiro de Pesquisa, com experiência e treinamento em pesquisas de opinião pública. No decorrer do trabalho de coleta de dados, os questionários aplicados, serão auditados em no mínimo 20% (vinte por cento) para verificação quanto ao cuidado na sua aplicação, bem como a adequação do entrevistado às variáveis das quotas amostrais.
";"Relação dos municípios, bairros, dados dos entrevistados e quantidade.
Gênero: masculino 47,20%, feminino 52,80%. Faixa etária: 16 a 24 anos 13,10%, 25 a 34 anos 21,20%, 35 a 44 anos 20,90%, 45 a 59 anos 25,40%, 60 anos ou mais 19,40%. Escolaridade: analfabeto/lê e escreve 9,90%, ensino fundamental incompleto e completo 31,80%, ensino médio incompleto e completo 36,80%, superior incompleto e completo 21,50%. Renda: até 1 salário mínimo 18,20%, de 1 a 2 salários mínimos 25,00%, de 2 a 5 salários mínimos 36,10%, de 5 a 10 salários mínimos 13,70%, mais de 10 salários mínimos 7,00%. Para um intervalo de confiança de 95% e um tamanho de amostra de 2.500 entrevistas, a margem de erro máxima estimada foi de 2% para mais ou para menos. Dados completo em anexo.
"
