"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN073222022";"2022-09-23 21:05:19";"N";"36443750000185";"EXATUS CONSULTORIA E PESQUISA LTDA";"EXATUS CONSULTORIA E PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-09-24 00:00:00";"2022-09-27 00:00:00";2000;"9620";"kalline fabiana silveira";"12000,00";"12000,00";"O universo da pesquisa abrangerá os eleitores do Estado do Rio Grande do Norte que, de acordo com o Tribunal Regional Eleitoral do Estado do Rio Grande do Norte (TRE/RN), compreende o total de 2.507.801 pessoas aptas a votar no estado. Assim, para que seja representativa para total a população de eleitores, a pesquisa foi aplicada nas zonas administrativas urbanas e rurais dos 60 maiores colégios eleitorais do estado. Distribuída por meio da técnica de Probabilidade Proporcional ao Tamanho (PPT). Empregou-se a técnica de observação direta, fazendo uso de um questionário semiestruturado. O método de seleção da amostra foi o de amostragem aleatória estratificada, com repartição proporcional que consiste em identificar os subgrupos significativos (Sexo, Idade e Grau de Instrução), calculando o peso relativo (%) de cada um dos estratos na população e por fim selecionando uma amostra dentro de cada um desses grupos.
";"Serão entrevistados 2000 indivíduos conforme a proporção do eleitorado por zona administrativa (77,8% na zona urbana e 22,2% na zona rural), cidade de domicilio, sexo (47,1% do eleitorado do sexo masculino e 52,9% do sexo feminino); Faixa Etária (16-24 anos=14,0%, 25-34 anos=21,4%, 35-44 anos=21,2%, 45-59 anos=24,4% e 60 anos e mais=19%), escolaridade (analfabetos/lê e escreve=16,4%; ensino fundamental incompleto ou completo= 29,6%; ensino médio incompleto ou completo=40,0%; e com ensino superior incompleto ou completo=14,1%) e Nível Econômico (não tem renda = 4,06%, até 1 salário=71,54% e acima de 1 salário = 24,4%). Para o tamanho amostral determinado, os resultados serão avaliados sob um erro amostral de 2,1% para mais ou para menos, ao nível de confiança de 95%. Fonte de Dados: IBGE (Censo Demográfico 2010) e TSE - Abril 2022.
";"Após a coleta de dados, os dados coletados passam por uma conferência e uma ponderação entre a amostra planejada e a amostra alcançada. O trabalho de campo foi supervisionado por três supervisores de campo, e o andamento da pesquisa acompanhado remotamente pelo estatístico responsável. O aplicativo utilizado para aplicar os questionários permite realizar auditoria tanto quanto ao tempo de execução, quanto a localização do entrevistador, trazendo uma segurança na execução da pesquisa de campo.
";"Os municípios selecionados para amostra foram: 
*Agreste Potiguar 
Nova Cruz
Brejinho
Canguaretama
Goianinha
Monte Alegre
Santo Antônio
São José do Campestre
Arês
Montanhas
Pedro Velho
Tibau do Sul

*Potengi
São Paulo do Potengi
São Tomé
Bom Jesus

*Região Metropolitana
Natal
Parnamirim
Ceará-Mirim
Macaíba
Extremoz
Nísia Floresta
São Gonçalo do Amarante
São José de Mipibu 
Ielmo Marinho
Maxaranguape

*Região Central
Angicos 
Lajes
Santana do Matos

*Seridó
Caicó
Currais Novos
Parelhas
Jucurutu
Lagoa Nova
Jardim de Piranhas


*Mato Grande
João Câmara
Poço Branco
Rio do Fogo
Taipu
Touros

*Região Trairi 
Santa Cruz
Tangará
Campo Redondo

*Vale do Açu
Alto do Rodrigues
Assú
Ipanguaçu
Pendências

*Alto Oeste Potiguar
Pau dos Ferros
Luís Gomes
São Miguel
Alexandria

*Médio Oeste
Apodi
Caraúbas
Upanema
Patu

*Oeste 
Baraúna
Mossoró
Serra do Mel
Gov Dix-Sept Rosado

*Salineira
Macau
Areia Branca
Guamaré

"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN008452022";"2022-05-13 18:12:50";"N";"36443750000185";"EXATUS CONSULTORIA E PESQUISA LTDA";"EXATUS CONSULTORIA E PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital";"2022-05-12 00:00:00";"2022-05-15 00:00:00";2000;"9620";"KALLINE FABIANA SILVEIRA MARINHO";"12000,00";"12000,00";"O universo da pesquisa abrangerá os eleitores do Estado do Rio Grande do Norte que, de acordo com o Tribunal Regional Eleitoral do Estado do Rio Grande do Norte (TRE/RN), compreende o total de 2.507.801 pessoas aptas a votar no estado. Assim, para que seja representativa para total a população de eleitores, a pesquisa foi aplicada nas zonas administrativas urbanas e rurais dos 60 maiores colégios eleitorais do estado. Distribuída por meio da técnica de Probabilidade Proporcional ao Tamanho (PPT). Empregou-se a técnica de observação direta, fazendo uso de um questionário semiestruturado. O método de seleção da amostra foi o de amostragem aleatória estratificada, com repartição proporcional que consiste em identificar os subgrupos significativos (Sexo, Idade e Grau de Instrução), calculando o peso relativo (%) de cada um dos estratos na população (Tabela 2 e 3) e por fim selecionando uma amostra dentro de cada um desses grupos.";"Serão entrevistados 2000 indivíduos conforme a proporção do eleitorado por zona administrativa (77,8% na zona urbana e 22,2% na zona rural), cidade de domicilio (Tabela 1), sexo (47,1% do eleitorado do sexo masculino e 52,9% do sexo feminino); Faixa Etária (16-24 anos=14,0%, 25-34 anos=21,4%, 35-44 anos=21,2%, 45-59 anos=24,4% e 60 anos e mais=19%) e escolaridade (analfabetos/lê e escreve=16,4%; ensino fundamental incompleto ou completo= 29,6%; ensino médio incompleto ou completo=40,0%; e com ensino superior incompleto ou completo=14,1%). As proporções por sexo serão apresentadas nas tabelas 2 e 3 em anexo. A Ponderação para o Nível Econômico dos entrevistados, ocorre sobre a coleta em campo (resultado obtido em campo), sendo possível devido a ampla cobertura geográfica da amostra e pela técnica de coleta de dados. Para o tamanho amostral determinado, os resultados serão avaliados sob um erro amostral de 2,1% para mais ou para menos, ao nível de confiança de 95%. Fonte de Dados: IBGE (Censo Demográfico 2010) e TSE - Abril 2022.";"Após a coleta de dados, os questionários passam por uma conferência e uma ponderação entre a amostra planejada e a amostra alcançada. O trabalho de campo foi supervisionado por dois supervisores de campo. Em que, uma nova amostragem, com 15% do total da amostra alcançada, foi feita pelo supervisor para verificação.";"
Os dados relativos a ponderação dos municípios sorteados encontra-se em
anexo"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN045652022";"2022-09-08 18:02:19";"N";"36443750000185";"EXATUS CONSULTORIA E PESQUISA LTDA";"EXATUS CONSULTORIA E PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital";"2022-09-09 00:00:00";"2022-09-11 00:00:00";2000;"9620";"kalline fabiana silveira marinho";"12000,00";"12000,00";"
O universo da pesquisa abrangerá os eleitores do Estado do Rio Grande do Norte que, de acordo com o Tribunal Regional Eleitoral do Estado do Rio Grande do Norte (TRE/RN), compreende o total de 2.507.801 pessoas aptas a votar no estado. Assim, para que seja representativa para total a população de eleitores, a pesquisa foi aplicada nas zonas administrativas urbanas e rurais dos 60 maiores colégios eleitorais do estado. Distribuída por meio da técnica de Probabilidade Proporcional ao Tamanho (PPT). Empregou-se a técnica de observação direta, fazendo uso de um questionário semiestruturado. O método de seleção da amostra foi o de amostragem aleatória estratificada, com repartição proporcional que consiste em identificar os subgrupos significativos (Sexo, Idade e Grau de Instrução), calculando o peso relativo (%) de cada um dos estratos na população e por fim selecionando uma amostra dentro de cada um desses grupos.
";"Serão entrevistados 2000 indivíduos conforme a proporção do eleitorado por zona administrativa (77,8% na zona urbana e 22,2% na zona rural), cidade de domicilio, sexo (47,1% do eleitorado do sexo masculino e 52,9% do sexo feminino); Faixa Etária (16-24 anos=14,0%, 25-34 anos=21,4%, 35-44 anos=21,2%, 45-59 anos=24,4% e 60 anos e mais=19%), escolaridade (analfabetos/lê e escreve=16,4%; ensino fundamental incompleto ou completo= 29,6%; ensino médio incompleto ou completo=40,0%; e com ensino superior incompleto ou completo=14,1%) e Nível Econômico (não tem renda = 4,06%, até 1 salário=71,54% e acima de 1 salário = 24,4%). Para o tamanho amostral determinado, os resultados serão avaliados sob um erro amostral de 2,1% para mais ou para menos, ao nível de confiança de 95%. Fonte de Dados: IBGE (Censo Demográfico 2010) e TSE - Abril 2022.
";"Após a coleta de dados, os dados coletados passam por uma conferência e uma ponderação entre a amostra planejada e a amostra alcançada. O trabalho de campo foi supervisionado por três supervisores de campo, e o andamento da pesquisa acompanhado remotamente pelo estatístico responsável. O aplicativo utilizado para aplicar os questionários permite realizar auditoria tanto quanto ao tempo de execução, quanto a localização do entrevistador, trazendo uma segurança na execução da pesquisa de campo.
";"Os municípios selecionados para amostra foram: 
*Agreste Potiguar 
Nova Cruz
Brejinho
Canguaretama
Goianinha
Monte Alegre
Santo Antônio
São José do Campestre
Arês
Montanhas
Pedro Velho
Tibau do Sul

*Potengi
São Paulo do Potengi
São Tomé
Bom Jesus

*Região Metropolitana
Natal
Parnamirim
Ceará-Mirim
Macaíba
Extremoz
Nísia Floresta
São Gonçalo do Amarante
São José de Mipibu 
Ielmo Marinho
Maxaranguape

*Região Central
Angicos 
Lajes
Santana do Matos

*Seridó
Caicó
Currais Novos
Parelhas
Jucurutu
Lagoa Nova
Jardim de Piranhas


*Mato Grande
João Câmara
Poço Branco
Rio do Fogo
Taipu
Touros

*Região Trairi 
Santa Cruz
Tangará
Campo Redondo

*Vale do Açu
Alto do Rodrigues
Assú
Ipanguaçu
Pendências

*Alto Oeste Potiguar
Pau dos Ferros
Luís Gomes
São Miguel
Alexandria

*Médio Oeste
Apodi
Caraúbas
Upanema
Patu

*Oeste 
Baraúna
Mossoró
Serra do Mel
Gov Dix-Sept Rosado

*Salineira
Macau
Areia Branca
Guamaré

"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN081562022";"2022-07-06 11:10:41";"N";"36443750000185";"EXATUS CONSULTORIA E PESQUISA LTDA";"EXATUS CONSULTORIA E PESQUISA";"Governador, Senador";"2022-07-05 00:00:00";"2022-07-07 00:00:00";2000;"9620";"KALLINE FABIANA SILVEIRA MARINHO";"12000,00";"12000,00";"O universo da pesquisa abrangerá os eleitores do Estado do Rio Grande do Norte que, de acordo com o Tribunal Regional Eleitoral do Estado do Rio Grande do Norte (TRE/RN), compreende o total de 2.507.801 pessoas aptas a votar no estado. Assim, para que seja representativa para total a população de eleitores, a pesquisa foi aplicada nas zonas administrativas urbanas e rurais dos 60 maiores colégios eleitorais do estado. Distribuída por meio da técnica de Probabilidade Proporcional ao Tamanho (PPT). Empregou-se a técnica de observação direta, fazendo uso de um questionário semiestruturado. O método de seleção da amostra foi o de amostragem aleatória estratificada, com repartição proporcional que consiste em identificar os subgrupos significativos (Sexo, Idade e Grau de Instrução), calculando o peso relativo (%) de cada um dos estratos na população e por fim selecionando uma amostra dentro de cada um desses grupos.";"Serão entrevistados 2000 indivíduos conforme a proporção do eleitorado por zona administrativa (77,8% na zona urbana e 22,2% na zona rural), cidade de domicilio, sexo (47,1% do eleitorado do sexo masculino e 52,9% do sexo feminino); Faixa Etária (16-24 anos=14,0%, 25-34 anos=21,4%, 35-44 anos=21,2%, 45-59 anos=24,4% e 60 anos e mais=19%) e escolaridade (analfabetos/lê e escreve=16,4%; ensino fundamental incompleto ou completo= 29,6%; ensino médio incompleto ou completo=40,0%; e com ensino superior incompleto ou completo=14,1%). A Ponderação para o Nível Econômico dos entrevistados, ocorre sobre a coleta em campo (resultado obtido em campo), sendo possível devido a ampla cobertura geográfica da amostra e pela técnica de coleta de dados. Para o tamanho amostral determinado, os resultados serão avaliados sob um erro amostral de 2,1% para mais ou para menos, ao nível de confiança de 95%. Fonte de Dados: IBGE (Censo Demográfico 2010) e TSE - Abril 2022.";"Após a coleta de dados, os questionários passam por uma conferência e uma ponderação entre a amostra planejada e a amostra alcançada. O trabalho de campo foi supervisionado por dois supervisores de campo. Em que, uma nova amostragem, com 15% do total da amostra alcançada, foi feita pelo supervisor para verificação.";"Os dados relativos as ponderações dos municípios sorteados serão inseridas após a realização do período de campo.
Os municípios sorteados foram: 
Acari
Açu
Alto do Rodrigues
Angicos
Apodi
Areia Branca
Arês
Gov Dix Sept Rostos
Bom Jesus
Caicó
Canguaretama
Caraúbas
Carnaubais
Ceará-Mirim
Currais Novos
Encanto
Extremoz
Felipe Guerra
Florânia
Goianinha
Guamaré
Ipanguaçu
Itaú
Jardim do Seridó
João Câmara
Jucurutu
Lagoa Nova
Lajes
Macaíba
Macau
Monte Alegre
Mossoró
Natal
Nísia Floresta
Nova Cruz
Olho d'Água do Borges
Paraú
Parnamirim
Pau dos Ferros
Poço Branco
Rafael Fernandes
Riachuelo
Rio do Fogo
Santa Cruz
Santana do Matos
Santo Antônio
São Gonçalo do Amarante
São José de Mipibu
São Miguel
São Paulo do Potengi
Serra Caiada
Serra do Mel
Serra Negra do Norte
Serrinha dos Pintos
Severiano Melo
Taipu
Tangará
Tibau do Sul
Touros
Triunfo Potiguar
"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN016372022";"2022-06-22 22:32:47";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-06-25 00:00:00";"2022-06-27 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Rio Grande do Norte, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelos órgãos:  TSE 2022, PNADc 2020 e do CENSO 2010. ";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado do Rio Grande do Norte, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de aproximadamente 3% para um intervalo e confiança de 95%.
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 52,8% Masculino 47,2%   
Faixa Etária: De 16 a 24 anos 14,4%; De 25 a 34 anos 22,0%; De 35 a 44 anos 20,9%; De 45 a 59 anos 24,4%; Mais de 60 anos 18,3%.
Grau de Instrução: Até Fundamental Completo 47,3%; Ensino Médio incompleto ou Completo 38,5%; Ensino Superior Incompleto ou Completo 14,2%.
Nível econômico: Economicamente ativo: Masculino 64,4% e Feminino 41,2%; Não economicamente ativo: Masculino 35,6% e Feminino 58,8%.
Fonte:  TSE 2022, PNADc 2020 e CENSO 2010
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN094872022";"2022-09-14 22:30:56";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-09-17 00:00:00";"2022-09-19 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do RIO GRANDE DO NORTE.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 15% (feminino) 14%; 
25-34 (masculino) 22% (feminino) 20%;
 35-44 (masculino) 21% (feminino) 21%;
 45-59 (masculino) 24% (feminino) 25%;
 60 e+ (masculino) 18% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 88% (feminino) 84%;
 Ensino Superior (masculino) 12% (feminino) 16%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 64% (feminino) 41%;
 Não Economicamente ativo (masculino) 36% (feminino) 59%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado de acordo com a resolução."
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN061522022";"2022-02-01 00:00:00";"N";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-02-01 00:00:00";"2022-02-03 00:00:00";1600;"8954";"Galttieri Ferreira Tavares";"10000,00";"10000,00";"A metodologia empregada nesta pesquisa utilizou uma amostragem aleatória estratificada com subestratos às microrregiões potiguar, seguindo por
cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado dentro da microrregião.
Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e atualizações populacionais,
disponível em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa Nacional por Domicílio - PNAD. A Pesquisa será realizada nos
setores censitário, conforme definido em mapa atualizado pelo instituto brasileiro de geografia e estatística - IBGE, percorrendo um total de 1600 entrevistas.
";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de
significância) é de 95% com margem de erro de 2,5 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada. ";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisor. Todos os questionários foram supervisionados
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1
para compilar e analisar os dados.";"#NULO#"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN030142022";"2022-07-21 20:18:11";"N";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-07-22 00:00:00";"2022-07-24 00:00:00";1500;"8954";"Galtieri Ferreira Tavares";"8000,00";"8000,00";"Pesquisa quantitativa com questionário semi-estruturado onde utilizou uma amostragem aleatória estratificada com subestratos às microrregiões 
potiguar, seguindo por cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado 
dentro da microrregião. Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e 
atualizações populacionais, disponível em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa 
Nacional por Domicílio - PNAD. A Pesquisa será realizada nos setores censitário, conforme definido em mapa atualizado pelo instituto brasileiro de 
geografia e estatística - IBGE, percorrendo um total de 1500 entrevistas.
";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas 
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de 
significância) é de 95% com margem de erro de 2,7 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada. ";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisor. Todos os questionários foram supervisionados 
no trabalho de campo pelo supervisores (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão 
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 
para compilar e analisar os dados.";"Bom Jesus Brejinho Lagoa Salgada Monte Alegre Nova Cruz Vera Cruz Afonso Bezerra
Lajes João Câmara Monte das Gameleiras Ruy Barbosa Santa Cruz São José do Campestre
Tangará Apodi Maxaranguape Touros Goianinha Pedro Velho Tibau do Sul Macaíba São Gonçalo do Amarante São José do Mipibú Macau Augusto Severo Upanema Baraúna Mossoró Natal Parnamirim
Itaú Marcelino Vieira Pau dos Ferros Portalegre Rodolfo Fernandes Caicó Serra Negra do Norte Acari Currais Novos São José do Seridó Florânia Santana do Matos Doutor Severiano Encanto São Miguel
Martins Patu Umarizal Açu Alto do Rodrigues Jucurutu"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN083602022";"2022-03-26 00:00:00";"S";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador";"2022-03-26 00:00:00";"2022-03-28 00:00:00";1700;"8954";"Galttieri Ferreira Tavares";"10000,00";"10000,00";"A metodologia empregada nesta pesquisa utilizou uma amostragem 
aleatória estratificada com subestratos às microrregiões potiguares, seguindo por 
cotas proporcionais de sexo, faixa etária e renda do município e amostra 
proporcional ao tamanho de cada município alocado dentro da microrregião. 
Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, 
disponíveis no sítio do IBGE (SIDRA, tabela 1552) e atualizações populacionais, 
disponíveis em https://www.ibge.gov.br/estatisticas/sociais/populacao, através 
da Pesquisa Nacional por Domicílio - PNAD. A Pesquisa será realizada nos 
setores censitários, conforme definido em mapa atualizado pelo instituto 
brasileiro de geografia e estatística - IBGE, percorrendo um total de 1700
entrevistas.";"Dentro do município, em cada zona administrativa, proporcionalmente ao 
número de setores censitários existentes, as entrevistas são distribuídas 
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as 
estatísticas do TSE (julho/2020). O intervalo de confiança (nível de 
significância) é de 95% com margem de erro de 2,5 % para mais ou para 
menos, nas estatísticas apresentadas para o total da amostra levantada.";"A equipe aplicadora dos questionários estruturados foi formada por 15
entrevistadores e 3 supervisores. Todos os questionários foram supervisionados 
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 
30% foi checado posteriormente (diretamente no local), haverá supervisão 
interna de todos os questionários aplicados e crítica dos dados digitados feita 
pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 
para compilar e analisar os dados.";"#NULO#"
"27/10/2022";"05:31:03";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN065612022";"2022-08-19 21:39:38";"N";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-08-20 00:00:00";"2022-08-22 00:00:00";1500;"8954";"Galtieri Ferreira Tavares";"8000,00";"8000,00";"Pesquisa quantitativa com questionário semi-estruturado onde utilizou uma amostragem aleatória estratificada com subestratos às microrregiões 
potiguar, seguindo por cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado 
dentro da microrregião. Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e 
atualizações populacionais, disponíveis em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa 
Nacional por Domicílio - PNAD. A Pesquisa será realizada nos setores censitário, conforme definido em mapa atualizado pelo instituto brasileiro de 
geografia e estatística - IBGE, percorrendo um total de 1500 entrevistas.
";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas 
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de 
significância) é de 95% com margem de erro de 2,7 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada.";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisores. Todos os questionários foram supervisionados 
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão 
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 
para compilar e analisar os dados.";"Bom Jesus
Brejinho
Lagoa Salgada
Monte Alegre
Nova Cruz
Vera Cruz
Afonso Bezerra
Lajes
João Câmara
Monte das Gameleiras
Ruy Barbosa
Santa Cruz
São José do Campestre
Tangará
Apodi
Maxaranguape
Touros
Goianinha
Pedro Velho
Tibau do Sul
Macaíba
São Gonçalo do Amarante
São José do Mipibú
Macau
Augusto Severo
Upanema
Baraúna
Mossoró
Natal
Parnamirim
Itaú
Marcelino Vieira
Pau dos Ferros
Portalegre
Rodolfo Fernandes
Caicó
Serra Negra do Norte
Acari
Currais Novos
São José do Seridó
Florânia
Santana do Matos
Doutor Severiano
Encanto
São Miguel
Martins
Patu
Umarizal
Açu
Alto do Rodrigues
Jucurutu
"
